step,layer,num_kv,deltaPKp_norm
0,4,1,2.4850786317642815e-08
0,4,1,2.4850786317642815e-08
1,5,1,0.0
0,4,1,2.4850786317642815e-08
1,5,1,0.0
2,6,1,1.1967404134338722e-07
0,4,1,2.4850786317642815e-08
1,5,1,0.0
2,6,1,1.1967404134338722e-07
3,7,1,6.746788017153449e-08
0,4,1,2.4850786317642815e-08
1,5,1,0.0
2,6,1,1.1967404134338722e-07
3,7,1,6.746788017153449e-08
4,8,1,1.120067878446207e-07
0,4,1,1.396859659053007e-07
0,4,1,1.396859659053007e-07
1,5,1,2.0687943447228463e-07
0,4,1,1.396859659053007e-07
1,5,1,2.0687943447228463e-07
2,6,1,1.6660004575896892e-07
0,4,1,1.396859659053007e-07
1,5,1,2.0687943447228463e-07
2,6,1,1.6660004575896892e-07
3,7,1,3.187246591096482e-07
0,4,1,1.396859659053007e-07
1,5,1,2.0687943447228463e-07
2,6,1,1.6660004575896892e-07
3,7,1,3.187246591096482e-07
4,8,1,9.866324717222597e-07
0,4,1,0.0
0,4,1,0.0
1,5,1,0.0
0,4,1,0.0
1,5,1,0.0
2,6,1,0.0
0,4,1,0.0
1,5,1,0.0
2,6,1,0.0
3,7,1,3.3618550787650747e-07
0,4,1,0.0
1,5,1,0.0
2,6,1,0.0
3,7,1,3.3618550787650747e-07
4,8,1,4.59767846905379e-07
