step,layer,num_kv,deltaPKp_norm
1,5,1,8.640746074206618e-08
2,6,1,1.3575603929893987e-07
0,4,1,7.048579675483779e-08
1,5,1,8.640746074206618e-08
2,6,1,1.3575603929893987e-07
3,7,1,2.1976055109007575e-07
0,4,1,7.048579675483779e-08
1,5,1,8.640746074206618e-08
2,6,1,1.3575603929893987e-07
3,7,1,2.1976055109007575e-07
4,8,1,3.75792978957179e-07
0,4,1,6.266908059160414e-08
0,4,1,6.266908059160414e-08
1,5,1,1.5305458589409682e-07
0,4,1,6.266908059160414e-08
1,5,1,1.5305458589409682e-07
2,6,1,1.7393556106526376e-07
0,4,1,6.266908059160414e-08
1,5,1,1.5305458589409682e-07
2,6,1,1.7393556106526376e-07
3,7,1,2.2026517854101257e-07
0,4,1,6.266908059160414e-08
1,5,1,1.5305458589409682e-07
2,6,1,1.7393556106526376e-07
3,7,1,2.2026517854101257e-07
4,8,1,3.875734364555683e-07
0,4,1,9.792625377258446e-08
0,4,1,9.792625377258446e-08
1,5,1,1.4826467520379083e-07
0,4,1,9.792625377258446e-08
1,5,1,1.4826467520379083e-07
2,6,1,1.610084154890501e-07
0,4,1,9.792625377258446e-08
1,5,1,1.4826467520379083e-07
2,6,1,1.610084154890501e-07
3,7,1,3.0172552101248584e-07
0,4,1,9.792625377258446e-08
1,5,1,1.4826467520379083e-07
2,6,1,1.610084154890501e-07
3,7,1,3.0172552101248584e-07
4,8,1,6.172750772748259e-07
0,4,1,7.884953134862371e-08
0,4,1,7.884953134862371e-08
1,5,1,1.3616433136576234e-07
0,4,1,7.884953134862371e-08
1,5,1,1.3616433136576234e-07
2,6,1,1.8066697293761536e-07
0,4,1,7.884953134862371e-08
1,5,1,1.3616433136576234e-07
2,6,1,1.8066697293761536e-07
3,7,1,2.8429604981283774e-07
0,4,1,7.884953134862371e-08
1,5,1,1.3616433136576234e-07
2,6,1,1.8066697293761536e-07
3,7,1,2.8429604981283774e-07
4,8,1,3.2158555995920324e-07
0,4,1,5.7711950773864373e-08
0,4,1,5.7711950773864373e-08
1,5,1,2.762749140572396e-08
0,4,1,5.7711950773864373e-08
1,5,1,2.762749140572396e-08
2,6,1,2.0185436255815148e-07
0,4,1,5.7711950773864373e-08
1,5,1,2.762749140572396e-08
2,6,1,2.0185436255815148e-07
3,7,1,2.3981149865903717e-07
0,4,1,5.7711950773864373e-08
1,5,1,2.762749140572396e-08
2,6,1,2.0185436255815148e-07
3,7,1,2.3981149865903717e-07
4,8,1,4.62176274140802e-07
0,4,1,3.1389852495067316e-08
0,4,1,3.1389852495067316e-08
1,5,1,4.02951769729043e-08
0,4,1,3.1389852495067316e-08
1,5,1,4.02951769729043e-08
2,6,1,1.0051383014797466e-07
0,4,1,3.1389852495067316e-08
1,5,1,4.02951769729043e-08
2,6,1,1.0051383014797466e-07
3,7,1,1.718485691526439e-07
0,4,1,3.1389852495067316e-08
1,5,1,4.02951769729043e-08
2,6,1,1.0051383014797466e-07
3,7,1,1.718485691526439e-07
4,8,1,4.810098630514403e-07
0,4,1,6.46582023478004e-08
0,4,1,6.46582023478004e-08
1,5,1,1.2845501373703883e-07
0,4,1,6.46582023478004e-08
1,5,1,1.2845501373703883e-07
2,6,1,3.016335199390596e-07
0,4,1,6.46582023478004e-08
1,5,1,1.2845501373703883e-07
2,6,1,3.016335199390596e-07
3,7,1,3.51364207062943e-07
0,4,1,6.46582023478004e-08
1,5,1,1.2845501373703883e-07
2,6,1,3.016335199390596e-07
3,7,1,3.51364207062943e-07
4,8,1,4.267043323125108e-07
