case_id_first,num_requests,layer_idx,layer,term1_data_KtT_W_minus_Vt_sq,term1_step_KtT_W_minus_Vt_sq,term2_W_minus_W0global_sq,term3_trace_deltaT_G0_delta,orig_weight_norm,upd_norm,z_error_mean
2823,100,2,9,4768287.1875,172113.5,2205.6953125,11.335678100585938,126.36992645263672,8.759069442749023,44.38455581665039
2823,100,3,10,2763735.84375,92714.40625,3294.902587890625,19.98849105834961,136.5782470703125,11.761017799377441,40.11346435546875
2823,100,4,11,1117127.9609375,9761.6591796875,8121.1826171875,57.47248077392578,147.09996032714844,18.939294815063477,31.529306411743164
2929,100,0,7,5628427.0625,205319.8125,642.6453857421875,5.462911605834961,132.1476593017578,4.4049553871154785,46.59932327270508
2929,100,1,8,4974794.5625,185196.375,784.5116577148438,7.304000377655029,133.23870849609375,5.0778985023498535,45.49152755737305
2929,100,2,9,4949592.75,171367.828125,2263.05908203125,11.641571998596191,126.44465637207031,8.548249244689941,44.130271911621094
2929,100,3,10,2872760.5,92954.578125,3402.89794921875,20.635231018066406,136.7434844970703,11.608067512512207,39.8936767578125
2929,100,4,11,1177693.9609375,11243.767578125,8303.3515625,58.83513259887695,147.33544921875,18.786781311035156,31.53660011291504
3035,100,0,7,5841858.8125,217580.953125,667.339111328125,5.673584461212158,132.13491821289062,4.531670570373535,47.85640335083008
3035,100,1,8,5170034.875,193894.0,813.2159423828125,7.565818786621094,133.2187042236328,5.199332237243652,46.54903793334961
3035,100,2,9,5139282.3125,178915.921875,2337.6689453125,12.016035079956055,126.49637603759766,8.920995712280273,44.79966354370117
3035,100,3,10,2985039.125,93490.734375,3516.344970703125,21.303943634033203,136.88992309570312,11.77698040008545,40.30857467651367
3035,100,4,11,1225963.78125,13859.94921875,8577.6123046875,60.88985824584961,147.51119995117188,19.353036880493164,31.722143173217773
3140,100,0,7,6064401.078125,225748.53125,692.0281982421875,5.884593486785889,132.1334991455078,4.536750316619873,48.88352584838867
3140,100,1,8,5368526.2109375,196674.0,840.904052734375,7.822381019592285,133.2053985595703,5.224240779876709,47.12882614135742
3140,100,2,9,5332204.3203125,181982.90625,2418.98828125,12.422924041748047,126.61929321289062,9.041643142700195,45.36903381347656
3140,100,3,10,3098629.1796875,97256.171875,3632.26806640625,21.995948791503906,137.05906677246094,11.893634796142578,41.18775177001953
3140,100,4,11,1289085.7727050781,16013.9306640625,8845.689453125,62.91410827636719,148.00442504882812,19.61098861694336,32.74628829956055
3249,100,0,7,6275241.375,214163.46875,714.4595336914062,6.081084251403809,132.13372802734375,4.4862260818481445,47.72585678100586
3249,100,1,8,5561013.71875,191259.84375,867.2713012695312,8.071260452270508,133.19000244140625,5.144662380218506,46.24862289428711
3249,100,2,9,5521133.6875,178373.6875,2479.78857421875,12.75252914428711,126.77369689941406,8.598477363586426,44.59848403930664
3249,100,3,10,3209333.25,93202.09375,3739.034423828125,22.639537811279297,137.24313354492188,11.691136360168457,40.55912399291992
3249,100,4,11,1348586.404296875,8903.0693359375,9043.955078125,64.37640380859375,148.48785400390625,19.02395248413086,32.01685333251953
3354,100,0,7,6490709.15625,217626.390625,736.2823486328125,6.273083686828613,132.1233673095703,4.530180931091309,48.36026382446289
3354,100,1,8,5753063.75,189879.65625,893.6767578125,8.320831298828125,133.16526794433594,5.169914722442627,46.57698059082031
3354,100,2,9,5706173.59375,173158.15625,2539.375,13.073509216308594,126.83792877197266,8.602357864379883,44.76109313964844
3354,100,3,10,3316948.21875,91760.5703125,3845.7490234375,23.28302001953125,137.38584899902344,11.69603157043457,40.446434020996094
3354,100,4,11,1405847.359375,9281.1015625,9224.4013671875,65.72234344482422,148.71006774902344,18.86465835571289,31.768714904785156
3461,100,0,7,6707793.8125,219701.34375,759.7132568359375,6.4750752449035645,132.11109924316406,4.513787269592285,48.13070297241211
3461,100,1,8,5948400.875,194357.484375,920.6843872070312,8.573541641235352,133.14271545410156,5.194732189178467,46.55915069580078
3461,100,2,9,5899014.0625,180234.03125,2617.625,13.460283279418945,126.9004898071289,8.933295249938965,44.70783233642578
3461,100,3,10,3431251.59375,93967.453125,3955.146484375,23.950029373168945,137.52955627441406,11.669392585754395,40.44975662231445
3461,100,4,11,1466861.3984375,14396.396484375,9474.01953125,67.6673812866211,148.89442443847656,19.299623489379883,31.86996078491211
3566,100,0,7,6917116.5625,210991.8125,780.5244750976562,6.659738540649414,132.1055145263672,4.422669410705566,47.32932662963867
3566,100,1,8,6139259.8125,188594.390625,944.734130859375,8.803577423095703,133.120849609375,5.109272003173828,45.945716857910156
3566,100,2,9,6083102.9375,171465.9375,2675.39208984375,13.769641876220703,127.03617095947266,8.494945526123047,44.43341064453125
3566,100,3,10,3542309.15625,92495.171875,4058.5595703125,24.579299926757812,137.68704223632812,11.695679664611816,40.30022048950195
